Version,3.0.0,,,,,,,,,
setCompID,setID,setType,partID,label,enumeration,status,firstReleased,lastUpdated,changes,notes
alleleUnitSet_gcPpmov,alleleUnitSet,unitSets,gcPpmov,Gene copies per PMMoV copy,8,active,2.0.0,2.0.0,,
alleleUnitSet_slope,alleleUnitSet,unitSets,slope,slope,9,active,2.0.0,2.0.0,,
alleleUnitSet_inter,alleleUnitSet,unitSets,inter,Intercept,10,active,2.0.0,2.0.0,,
alleleUnitSet_efficient,alleleUnitSet,unitSets,efficient,Efficiency,11,active,2.0.0,2.0.0,,
alleleUnitSet_r2,alleleUnitSet,unitSets,r2,R squared,12,active,2.0.0,2.0.0,,
alleleUnitSet_hUn,alleleUnitSet,unitSets,hUn,See Header for Unit,13,active,3.0.0,3.0.0,,
allStandardSet_pmmovStand,allStandardSet,mmaSets,pmmovStand,PMMoV Standarized,1,active,3.0.0,3.0.0,,
allStandardSet_crassStand,allStandardSet,mmaSets,crassStand,Crassphage Standarized,2,active,3.0.0,3.0.0,,
allStandardSet_flowStand,allStandardSet,mmaSets,flowStand,Flow Standarized,3,active,3.0.0,3.0.0,,
allStandardSet_bayesSmooth,allStandardSet,mmaSets,bayesSmooth,Bayesian Smoothing applied,4,active,3.0.0,3.0.0,,
allStandardSet_caSmooth,allStandardSet,mmaSets,caSmooth,Central average smoothing applied,5,active,3.0.0,3.0.0,,
allStandardSet_day7Smooth,allStandardSet,mmaSets,day7Smooth,7-day smoothing of values,6,active,3.0.0,3.0.0,,
allStandardSet_timeStand,allStandardSet,mmaSets,timeStand,Time standardized,7,active,3.0.0,3.0.0,,
allStandardSet_gauss,allStandardSet,mmaSets,gauss,Gaussian distribution stanrdized/Normalized,8,active,3.0.0,3.0.0,,
amrClassSet_cpp,amrClassSet,mmaSets,cpp,Critical priority pathogen,1,active,3.0.0,3.0.0,,
amrClassSet_hpp,amrClassSet,mmaSets,hpp,High priority pathogen,2,active,3.0.0,3.0.0,,
amrClassSet_mpp,amrClassSet,mmaSets,mpp,Medium priority pathogen,3,active,3.0.0,3.0.0,,
amrClassSet_rsi,amrClassSet,mmaSets,rsi,Resistant strain identified,4,active,3.0.0,3.0.0,,
amrSoftSet_argAnnotSoft,amrSoftSet,mmaSets,argAnnotSoft,ARG-ANNOT Annotation Tool,1,active,2.3.0,2.3.0,,
amrSoftSet_resFinderSoft,amrSoftSet,mmaSets,resFinderSoft,ResFinder Tool,2,active,2.3.0,2.3.0,,
amrSoftSet_cardRGI,amrSoftSet,mmaSets,cardRGI,CARD Resistance Gene Identifier (RGI),3,active,2.3.0,2.3.0,,
amrSoftSet_deepARG,amrSoftSet,mmaSets,deepARG,DeepARG Software,4,active,2.3.0,2.3.0,,
amrSoftSet_amrFinderPlus,amrSoftSet,mmaSets,amrFinderPlus,AMRFinderPlus Software,5,active,2.3.0,2.3.0,,
amrSoftSet_metaPhIAn,amrSoftSet,mmaSets,metaPhIAn,MetaPhlAn Software,6,active,2.3.0,2.3.0,,
amrSoftSet_abricate,amrSoftSet,mmaSets,abricate,ABRicate Software,7,active,2.3.0,2.3.0,,
amrSoftSet_starAMR,amrSoftSet,mmaSets,starAMR,StarAMR Software,8,active,2.3.0,2.3.0,,
amrSoftSet_shortBRED,amrSoftSet,mmaSets,shortBRED,ShortBRED Software,9,active,2.3.0,2.3.0,,
amrSoftSet_srst2,amrSoftSet,mmaSets,srst2,SRST2 Software,10,active,2.3.0,2.3.0,,
anyCompartmentSet_air,anyCompartmentSet,compartmentSets,air,Air compartment,1,active,2.0.0,2.0.0,,
anyCompartmentSet_surf,anyCompartmentSet,compartmentSets,surf,Surface compartment,2,active,2.0.0,2.0.0,,
anyCompartmentSet_wat,anyCompartmentSet,compartmentSets,wat,Water compartment,3,active,2.0.0,2.0.0,,
anySpecimenSet_pop,anySpecimenSet,specimenSets,pop,Population,1,active,2.0.0,2.0.0,,
anySpecimenSet_sa,anySpecimenSet,specimenSets,sa,Sample,2,active,2.0.0,2.0.0,,
anySpecimenSet_sit,anySpecimenSet,specimenSets,sit,Site,3,active,2.0.0,2.0.0,,
anySpecimenSet_poly,anySpecimenSet,specimenSets,poly,Polygon,4,active,3.0.0,3.0.0,,
bacteriaUnitSet_cfu,bacteriaUnitSet,unitSets,cfu,Colony Forming Units,1,active,2.0.0,2.0.0,,
bacteriaUnitSet_cfugTS,bacteriaUnitSet,unitSets,cfugTS,Colony forming units per grams total solids,2,active,2.3.0,2.3.0,,
bacteriaUnitSet_cfumL,bacteriaUnitSet,unitSets,cfumL,Colony forming units per milliliter,3,active,2.3.0,2.3.0,,
bacteriaUnitSet_mpn100mL,bacteriaUnitSet,unitSets,mpn100mL,Most probable number per 100 milliliters,4,active,3.0.0,3.0.0,,
bacteriaUnitSet_mpnmL,bacteriaUnitSet,unitSets,mpnmL,Most probable number per milliliter,5,active,3.0.0,3.0.0,,
bacteriaUnitSet_cfu100,bacteriaUnitSet,unitSets,cfu100,CFU per 100 ml,6,active,3.0.0,3.0.0,,
bacteriaUnitSet_hUn,bacteriaUnitSet,unitSets,hUn,See Header for Unit,7,active,3.0.0,3.0.0,,
bactMethSet_bacCul,bactMethSet,mmaSets,bacCul,Bacterial culture,1,active,2.3.0,2.3.0,,
bactMethSet_agt,bactMethSet,mmaSets,agt,Antimicrobial gradient test,2,active,2.3.0,2.3.0,,
bactMethSet_gramSt,bactMethSet,mmaSets,gramSt,Gram stain,3,active,2.3.0,2.3.0,,
bactMethSet_growBroth,bactMethSet,mmaSets,growBroth,Growth in enrichment broth,4,active,2.3.0,2.3.0,,
basePairSet_bps,basePairSet,unitSets,bps,Base-pairs,1,active,3.0.0,3.0.0,,
basePairSet_megaB,basePairSet,unitSets,megaB,Mega-bases or Mega-base-pairs,2,active,3.0.0,3.0.0,,
basePairSet_nPerKbp,basePairSet,unitSets,nPerKbp,Number per 100 kilo-base-pairs,3,active,3.0.0,3.0.0,,
basePairSet_hUn,basePairSet,unitSets,hUn,See Header for Unit,4,active,3.0.0,3.0.0,,
booleanAggrSet_sin,booleanAggrSet,aggregationSets,sin,Single,1,active,2.0.0,2.0.0,,
booleanAggrSet_orBoo,booleanAggrSet,aggregationSets,orBoo,OR Boolean aggregation,2,active,2.0.0,2.0.0,,
booleanAggrSet_andBoo,booleanAggrSet,aggregationSets,andBoo,AND Boolean aggregation,3,active,2.0.0,2.0.0,,
booleanSet_TRUE,booleanSet,mmaSets,TRUE,TRUE,1,active,2.0.0,2.0.0,,
booleanSet_FALSE,booleanSet,mmaSets,FALSE,FALSE,2,active,2.0.0,2.0.0,,
calcTypeSet_normalization,calcTypeSet,mmaSets,normalization,Normalization Calculation Type,1,active,3.0.0,3.0.0,,
calcTypeSet_standardization,calcTypeSet,mmaSets,standardization,Standardization Calculation Type,2,active,3.0.0,3.0.0,,
calcTypeSet_smoothing,calcTypeSet,mmaSets,smoothing,Smoothing Calculation Type,3,active,3.0.0,3.0.0,,
calcTypeSet_predictiveModels,calcTypeSet,mmaSets,predictiveModels,Predictive Modeling Calculation Type,4,active,3.0.0,3.0.0,,
capacityUnitSet_mgd,capacityUnitSet,unitSets,mgd,Millions of gallons per day (MG/D),1,active,2.0.0,2.0.0,,
capacityUnitSet_mld,capacityUnitSet,unitSets,mld,Megalitres per day (ML/d),2,active,2.0.0,2.0.0,,
capacityUnitSet_popEq,capacityUnitSet,unitSets,popEq,Population equivalents,3,active,2.0.0,2.0.0,,
