domainID,descriptionEN,descriptionFR
biologic,refers to an organism or its genetic material,organisme ou son code génétique
chemical,refers to any chemical compound,se réfère à n'importe quelle mesure chimique (même mesure aggrégée comme la DCO par exemple)
physical,refers to physical properties or objects not characterized by life or chemistry (solids),réfère à une propriété physique ou a une propriété qui n'est pas spécifiée par la composition chimique ou la présence de vie
