"Target","Mutation","X3","X4","Target","Allele","X7","X8","Target","Variant","X11","X12","Genetic.Unit.Set","X14","X15","saMaterial","(sample.material,.'sample.type')","X18","Sample.Collection","X20","X21","Fraction.analyzed","X23","X24","methodID","(PCR//Sequencing)","X27","X28","pcrSet","(for.partID.=.pcrmeth,.label.=.PCR.method)","X31","scriptSet","(for.partID.=.scriptVersion,.label.=.Script.version)","X34","seqStratSet","(for.partID.=.seqStrat,.label.=.Sequencing.strategy)","X37","seqSelSet","(for.partID.=.seqSel,.label.=.Sequencing.selection)","X40","seqLaySet","(for.partID.=.seqLay,.label.=.Sequencing.layout)","X43","Aggregation","X45","X46","target.type","X48","X49","sample.shed","X51","X52","Airport","X54","X55","methodID","(PCR//Sequencing)","X58","Target","X60","X61","X62"
"d950n","d950n delta-variant gene target","d950n delta-variant gene target.","geneticUnitSet","orf1a","ORF1a sars-cov-2 gene target","ORF1a sars-cov-2 gene target","geneticUnitSet","omicr2","Omicron BA.2","Omicron BA.2","geneticUnitSet",NA,NA,NA,"rawWW","Raw sewage at site","Wastewater without any form of treatment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AHO","Alghero Sassari","Italy","wgs","Whole Genome Sequencing","Specifies the whole genome sequencing (WGS) strategy for genetic sequencing","d796y","d796y omicron-variant gene target","d796y omicron-variant gene target.","geneticUnitSet"
"ddcovE","ddcov_e sars-cov-2 gene target","ddcov_e sars-cov-2 gene target.","geneticUnitSet","orf1ab","ORF1ab sars-cov-2 gene target","ORF1ab sars-cov-2 gene target","geneticUnitSet","omicr275","Omicron BA.2.75","Omicron BA.2.75","geneticUnitSet",NA,NA,NA,"rawWWdown","Raw sewage downstream from a site","Downstream from a site. See partType = rawWWup.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALC","Alicante","Spain",NA,NA,NA,"d950n","d950n delta-variant gene target","d950n delta-variant gene target.","geneticUnitSet"
"ddcovN ","ddcov_n sars-cov-2 gene target","ddcov_n sars-cov-2 gene target.","geneticUnitSet","orf1b","ORF1b sars-cov-2 gene target","ORF1b sars-cov-2 gene target","geneticUnitSet","omicr4","Omicron BA.4","Omicron BA.4","geneticUnitSet",NA,NA,NA,"rawWWup","Raw sewage upstream from a site","Upstream from a site. Used when there is not direct access to a site's wastewater inconjuctiion with downstream sample. For example, if the site is a long-term care home, but ther is not access to the building or property cleanout. Use two sameple, one sample upstream and one sample downstream.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LEI","Almeria","Spain",NA,NA,NA,"ddcovE","ddcov_e sars-cov-2 gene target","ddcov_e sars-cov-2 gene target.","geneticUnitSet"
"del143","del143/145 ","143 or 145 deletion omicron-variant gene target.","geneticUnitSet","sGene","S sars-cov-2 gene target","S sars-cov-2 gene target","geneticUnitSet","omicr5","Omicron BA.5","Omicron BA.5","geneticUnitSet",NA,NA,NA,"sEfflu","Secondary clarifier effluent","Effluent obtained after secondary clarifiers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALF","Alta","Norway",NA,NA,NA,"ddcovN","ddcov_n sars-cov-2 gene target","ddcov_n sars-cov-2 gene target.","geneticUnitSet"
"del157","del 157/158","157 or 158 deletion delta-variant gene target","geneticUnitSet",NA,NA,NA,NA,"otherV","Variants Other","Used for reporting variants detected for which a specific measureID doesn't already exist. The ODM team will periodically migrate collected responses in this category into set measureIDs.","geneticUnitSet",NA,NA,NA,"septage","Septic tank wastewater","Wastewater from within a septic tank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACH","Altenrhein","Switzerland",NA,NA,NA,"del143","del143/145","143 or 145 deletion omicron-variant gene target.","geneticUnitSet"
"del2084","del2084/2084 ","2084 or 2084 deletion omicron-variant gene target.","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sSludge","Secondary clarifier sludge","Sludge produced by secondary clarifiers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMS","Amsterdam�- Amsterdam Airport Schiphol","Netherlands",NA,NA,NA,"del157","del 157/158","157 or 158 deletion delta-variant gene target","geneticUnitSet"
"del212","del212/212 ","212 or 212 deletion omicron-variant gene target.","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"surface","Other surface","Surface other than floor or desk.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AOI","Ancona - Ancona Falconara Airport","Italy",NA,NA,NA,"del2084","del2084/2084",NA,"geneticUnitSet"
"del3674","del3674/3676 ","3674 or 3676 deletion omicron-variant gene target.","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"swrSed","Sewer sediment","Sediments obtained in sewer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALV","Andorra La Vella�- Heliport","Andorra",NA,NA,NA,"del212","del212/212","212 or 212 deletion omicron-variant gene target.","geneticUnitSet"
"del6970","del69/70","69 or 70 deletion omicron-variant gene target.","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANK","Ankara","Turkey",NA,NA,NA,"del3674","del3674/3676","3674 or 3676 deletion omicron-variant gene target.","geneticUnitSet"
"e156g","e156g delta-variant gene target","e156g delta-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESB","Ankara�- Esenbo?a International Airport","Turkey",NA,NA,NA,"del6970","del69/70","69 or 70 deletion omicron-variant gene target.","geneticUnitSet"
"e484a ","e484a omicron-variant gene target","e484a omicron-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NCY","Annecy","France",NA,NA,NA,"e156g","e156g delta-variant gene target","e156g delta-variant gene target","geneticUnitSet"
"eSarbec","Sarbecovirus-specific E sars-cov-2 gene target","Sarbecovirus-specific E sars-cov-2 gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AYT","Antalya","Turkey",NA,NA,NA,"e484a","e484a omicron-variant gene target","e484a omicron-variant gene target","geneticUnitSet"
"g215c","g215c delta-variant gene target","g215c delta-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANR","Antwerp","Belgium",NA,NA,NA,"eSarbec","Sarbecovirus-specific E sars-cov-2 gene target","Sarbecovirus-specific E sars-cov-2 gene target","geneticUnitSet"
"g339d ","g339d omicron-variant gene target","g339d omicron-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GPA","Araxos","Greece",NA,NA,NA,"g215c","g215c delta-variant gene target","g215c delta-variant gene target","geneticUnitSet"
