sampleDate,siteID,siteName,reportDate,covN1_nPMMoV_meanMnNr,covN1_nPMMoV_sdNr,covN2_nPMMoV_meanMnNr,covN2_nPMMoV_sdNr,nPPMoV_Ct_mean,qualityFlag,testB117,detectB117,fractionB117,fractionB117_sd,N1_N2_avg_L,viral_confidence
2020-09-03,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00013,0.00003,0.00016,0.00004,25.59,FALSE,FALSE,,,,301646.29,TRUE
2020-09-05,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.0002,0.00001,0.00018,0.00011,26.04,FALSE,FALSE,,,,230830.5,TRUE
2020-09-07,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00017,0.00002,0.00013,0.00001,26.08,FALSE,FALSE,,,,281914.42,TRUE
2020-09-10,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00025,0.00015,0.00025,0.0001,27.4,FALSE,FALSE,,,,136258.14,TRUE
2020-09-11,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00014,0.00007,0.00012,0.00005,26.31,FALSE,FALSE,,,,591407.77,TRUE
2020-09-12,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00013,0.00003,0.00019,0.00011,26.56,FALSE,FALSE,,,,290288.86,TRUE
2020-09-13,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00021,0.00005,0.00029,0.0001,27.45,FALSE,FALSE,,,,211703.03,TRUE
2020-09-14,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.0002,0.00004,0.00022,0.00003,27.02,FALSE,FALSE,,,,975380.64,TRUE
2020-09-15,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.0002,0.00006,0.00023,0.00003,26.85,FALSE,FALSE,,,,1313523.52,TRUE
2020-09-16,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00006,0.00001,0.00009,0.00002,26.23,FALSE,FALSE,,,,238771.38,TRUE
2020-09-17,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.0002,NA,0.00019,0.00004,27.88,FALSE,FALSE,,,,75874.4,TRUE
2020-09-18,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00011,0.00004,0.00025,0.00007,27.57,FALSE,FALSE,,,,97882.34,TRUE
2020-09-19,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00033,0.00006,0.00033,0.00007,26.94,FALSE,FALSE,,,,837664.12,TRUE
2020-09-20,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00014,0.00005,0.00011,0.00002,26,FALSE,FALSE,,,,585475.48,TRUE
2020-09-21,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00029,0.00001,0.00034,0.00004,26.63,FALSE,FALSE,,,,1163052.34,TRUE
2020-09-22,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00031,0.00014,0.00049,0.00023,28.8,FALSE,FALSE,,,,376112.7,TRUE
2020-09-23,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00021,0.00001,0.00023,0.00008,26.94,FALSE,FALSE,,,,846333.04,TRUE
2020-09-24,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00008,0.00001,0.00014,0.00003,26.64,FALSE,FALSE,,,,770242.47,TRUE
2020-09-25,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.0001,0.00005,0.00016,0.00005,26.78,FALSE,FALSE,,,,690603.9,TRUE
2020-09-26,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00017,0.00002,0.00028,0.00006,26.75,FALSE,FALSE,,,,1227018.39,TRUE
2020-09-27,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00023,0.00002,0.00027,0.00002,26.35,FALSE,FALSE,,,,1361361.38,TRUE
2020-09-28,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00032,0.00006,0.00037,0.00006,27.86,FALSE,FALSE,,,,616929.22,TRUE
2020-09-29,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00037,0.00014,0.00043,0.00019,27.92,FALSE,FALSE,,,,615278.92,TRUE
2020-09-30,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00028,0.00016,0.00024,0.00015,25.95,FALSE,FALSE,,,,1210325.16,TRUE
2020-10-01,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00071,0.0001,0.00098,0.00041,28.06,FALSE,FALSE,,,,1223511.93,TRUE
2020-10-02,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00037,0.00007,0.00034,0.00005,26.27,FALSE,FALSE,,,,1422428.79,TRUE
2020-10-03,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.0003,0.00004,0.00026,0.00002,25.58,FALSE,FALSE,,,,1670536.47,TRUE
2020-10-04,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00011,0.00002,0.00013,0,25.09,FALSE,FALSE,,,,1735369.49,TRUE
2020-10-05,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00036,0.00002,0.0005,0.00003,26.53,FALSE,FALSE,,,,1172259.61,TRUE
2020-10-06,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00048,0.00018,0.00066,0.00008,27.153,FALSE,FALSE,,,,1390102.3,TRUE
2020-10-07,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00042,0.00014,0.00051,0.00016,26.926,FALSE,FALSE,,,,1478742.29,TRUE
