uWwMeasureID,wwMeasureID,sampleID,labID,assayID,instrumentID,reporterID,analysisDate,reportDate,fractionAnalyzed,type,typeOther,unit,unitOther,aggregation,aggregationOther,index,value,qualityFlag,accessToPublic,accessToAllOrg,accessToSelf,accessToPHAC,accessToLocalHA,accessToProvHA,accessToOtherProv,accessToDetails,notes
,,,Ottawa-1,,,,2020-06-10,2020-11-16,solid,nPMMoV,,Ct,,mean,,,26.35,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-16,2020-11-16,solid,covN1,,gcPMMoV,,meanNr,,,0.00003,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-16,2020-11-16,solid,covN1,,gcPMMoV,,sdNr,,,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-16,2020-11-16,solid,covN2,,gcPMMoV,,meanNr,,,0.00002,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-16,2020-11-16,solid,covN2,,gcPMMoV,,sdNr,,,0.00001,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-16,2020-11-16,solid,nPMMoV,,Ct,,mean,,,27.74,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-17,2020-11-16,solid,covN1,,gcPMMoV,,meanNr,,,0.00004,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-17,2020-11-16,solid,covN1,,gcPMMoV,,sdNr,,,0.00002,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-17,2020-11-16,solid,covN2,,gcPMMoV,,meanNr,,,0.00002,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-17,2020-11-16,solid,covN2,,gcPMMoV,,sdNr,,,0.00001,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-17,2020-11-16,solid,nPMMoV,,Ct,,mean,,,27.85,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-19,2020-11-16,solid,covN1,,gcPMMoV,,meanNr,,,0.00002,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-19,2020-11-16,solid,covN1,,gcPMMoV,,sdNr,,,0.00001,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-19,2020-11-16,solid,covN2,,gcPMMoV,,meanNr,,,0.00002,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-19,2020-11-16,solid,covN2,,gcPMMoV,,sdNr,,,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-19,2020-11-16,solid,nPMMoV,,Ct,,mean,,,27.58,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-21,2020-11-16,solid,covN1,,gcPMMoV,,meanNr,,,0.00006,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-21,2020-11-16,solid,covN1,,gcPMMoV,,sdNr,,,0.00004,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-21,2020-11-16,solid,covN2,,gcPMMoV,,meanNr,,,0.00002,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-21,2020-11-16,solid,covN2,,gcPMMoV,,sdNr,,,0.00001,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-21,2020-11-16,solid,nPMMoV,,Ct,,mean,,,27.08,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-23,2020-11-16,solid,covN1,,gcPMMoV,,meanNr,,,0.00029,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-23,2020-11-16,solid,covN1,,gcPMMoV,,sdNr,,,0.00018,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-23,2020-11-16,solid,covN2,,gcPMMoV,,meanNr,,,0.00004,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-23,2020-11-16,solid,covN2,,gcPMMoV,,sdNr,,,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-23,2020-11-16,solid,nPMMoV,,Ct,,mean,,,28.28,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-26,2020-11-16,solid,covN1,,gcPMMoV,,meanNr,,,0.00006,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-26,2020-11-16,solid,covN1,,gcPMMoV,,sdNr,,,0.00002,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-26,2020-11-16,solid,covN2,,gcPMMoV,,meanNr,,,0.00004,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
