wideName,label,charLength,descr,source,wideMeasure,wideProtocol,wideAttribute,wideNameType,reportTableName,reportTableInput,partTypeName,partTypeInput,compartmentName,compartmentInput,specimenName,specimenInput,fractionName,fractionInput,measureName,measureInput,methodName,methodInput,unitName,unitInput,aggregationName,aggregationInput,index,attributeName,attributeInput,tag
si_parSiteID,site_siteID,12,The unique identifier for a collection of sites.,EU4S Data ODM wide Template,NA,NA,si_parSiteID,attributes,Sites table Shorthand,si,,,,0,,0,,0,,0,,0,,0,,0,,Parent Site ID,parSiteID,
si_name,site_name,7,The name of the site.,EU4S Data ODM wide Template,NA,NA,si_name,attributes,Sites table Shorthand,si,,,,0,,0,,0,,0,,0,,0,,0,,Name,name,
si_siteID,site_code,9,The unique identifier for a site.,EU4S Data ODM wide Template,NA,NA,si_siteID,attributes,Sites table Shorthand,si,,,,0,,0,,0,,0,,0,,0,,0,,Site ID,siteID,
po_geoWKT,site_geomWKT,9,The well-known text (WKT) file for a polygon.,EU4S Data ODM wide Template,NA,NA,po_geoWKT,attributes,Polygon table Shorthand,po,,,,0,,0,,0,,0,,0,,0,,0,,Well-known text,geoWKT,
si_healthRegion,site_healthRegion,15,The health region of a site.,EU4S Data ODM wide Template,NA,NA,si_healthRegion,attributes,Sites table Shorthand,si,,,,0,,0,,0,,0,,0,,0,,0,,Health Region for a Site,healthRegion,
hum_sit_NA_popServ_peeps_total_NA_value,site_popServ,39,The population served by a site.,EU4S Data ODM wide Template,hum_sit_NA_popServ_peeps_total_NA_value,NA,NA,measurements,,0,,,Human compartment,hum,Site,sit,Not applicable,NA,Population Served,popServ,,0,Number of people,peeps,Total amount or count - the sum,total,NA,Value,value,
hum_sit_NA_popServ_perc_me_NA_value,site_popServPercent,35,The percent of the population served by a site (most applicable to a wastewater treatment plant),EU4S Data ODM wide Template,hum_sit_NA_popServ_perc_me_NA_value,NA,NA,measurements,,0,,,Human compartment,hum,Site,sit,Not applicable,NA,Population Served,popServ,,0,Percent,perc,Arithmetic mean,me,NA,Value,value,
wat_sit_nr_popServ_popEq_me_NA_value,site_populationEquivalents,36,The mean capacity of a wastewater treatment plant in population equivalents. ,EU4S Data ODM wide Template,wat_sit_nr_popServ_popEq_me_NA_value,NA,NA,measurements,,0,,,Water compartment,wat,Site,sit,Not reported,nr,Wastewater treatment plant designed capacity,popServ,,0,Population equivalents,popEq,Arithmetic mean,me,NA,Value,value,
po_polygonID,polygon_polygonID,12,The unique identifier for a polygon.,EU4S Data ODM wide Template,NA,NA,po_polygonID,attributes,Polygon table Shorthand,po,,,,0,,0,,0,,0,,0,,0,,0,,Polygon ID,polygonID,
po_geoEPSG,site_geomEPSG,10,The EPSG coordinates for a polygon. ,EU4S Data ODM wide Template,NA,NA,po_geoEPSG,attributes,Polygon table Shorthand,po,,,,0,,0,,0,,0,,0,,0,,0,,European Petroleum Survey Group Coordinates,geoEPSG,
ds_name,dataset_name,7,The name of the dataset.,EU4S Data ODM wide Template,NA,NA,ds_name,attributes,Dataset table Shorthand,ds,,,,0,,0,,0,,0,,0,,0,,0,,Name,name,
si_geoLat,site_lat,9,The latitude of a site.,EU4S Data ODM wide Template,NA,NA,si_geoLat,attributes,Sites table Shorthand,si,,,,0,,0,,0,,0,,0,,0,,0,,Latitude,geoLat,
si_geoLong,site_lon,10,The longitude of a site.,EU4S Data ODM wide Template,NA,NA,si_geoLong,attributes,Sites table Shorthand,si,,,,0,,0,,0,,0,,0,,0,,0,,Longitude,geoLong,
ds_datasetDate,dataset_datasetDate,14,The date of creation of a dataset.,EU4S Data ODM wide Template,NA,NA,ds_datasetDate,attributes,Dataset table Shorthand,ds,,,,0,,0,,0,,0,,0,,0,,0,,Dataset creation date,datasetDate,
,,,,,NA,NA,NA,,,0,,,,0,,0,,0,,0,,0,,0,,0,,,0,
,,,,,NA,NA,NA,,,0,,,,0,,0,,0,,0,,0,,0,,0,,,0,
,,,,,NA,NA,NA,,,0,,,,0,,0,,0,,0,,0,,0,,0,,,0,
,,,,,NA,NA,NA,,,0,,,,0,,0,,0,,0,,0,,0,,0,,,0,
,,,,,NA,NA,NA,,,,,,,0,,0,,0,,0,,0,,0,,0,,,0,
,,,,,NA,NA,NA,,,,,,,0,,0,,0,,0,,0,,0,,0,,,0,
,,,,,NA,NA,NA,,,,,,,0,,0,,0,,0,,0,,0,,0,,,0,
,,,,,NA,NA,NA,,,,,,,0,,0,,0,,0,,0,,0,,0,,,,
,,,,,NA,NA,NA,,,,,,,0,,0,,0,,0,,0,,0,,0,,,,
,,,,,NA,NA,NA,,,,,,,0,,0,,0,,0,,0,,0,,0,,,,
,,,,,NA,NA,NA,,,,,,,0,,0,,0,,0,,0,,0,,0,,,,
,,,,,NA,NA,NA,,,,,,,0,,0,,0,,0,,0,,0,,0,,,,
,,,,,NA,NA,NA,,,,,,,0,,0,,0,,0,,0,,0,,0,,,,
,,,,,NA,NA,NA,,,,,,,0,,0,,0,,0,,0,,0,,0,,,,
,,,,,NA,NA,NA,,,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,NA,NA,NA,,,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,NA,NA,NA,,,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,NA,NA,NA,,,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,NA,NA,NA,,,,,,,,,0,,0,,,,0,,0,,0,,,,
,,,,,NA,NA,NA,,,,,,,,,,,0,,,,0,,,,0,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
