wideName,label,charLength,descr,source,wideMeasure,wideProtocol,wideAttribute,wideNameType,reportTableName,reportTableInput,partTypeName,partTypeInput,compartmentName,compartmentInput,specimenName,specimenInput,fractionName,fractionInput,measureName,measureInput,methodName,methodInput,unitName,unitInput,aggregationName,aggregationInput,index,attributeName,attributeInput,tag
wat_sit_nr_cond_uSCm_me_NR_value,Water conductivity (µS/cm) - wide,32,Wastewater or water conductivity  in a wide or combined long-and-wide table. ,EU Airport template,wat_sit_nr_cond_uSCm_me_NR_value,NA,NA,measurements,,0,,0,Water compartment,wat,Site,sit,Not reported,nr,Water conductivity,cond,,0,Micro-Siemens per centimetre,uSCm,Arithmetic mean,me,NR,Value,value,
wat_sit_nr_ph_unitless_me_NR_value,pH - wide,34,pH of a site in a wide or combined long-and-wide table. ,EU Airport template,wat_sit_nr_ph_unitless_me_NR_value,NA,NA,measurements,,0,,0,Water compartment,wat,Site,sit,Not reported,nr,pH,ph,,0,Unitless measure,unitless,Arithmetic mean,me,NR,Value,value,
wat_sit_nr_tn_mgL_me_NR_value,Nitrogen concentration (mg/l) - wide,29,Notal nitrogen concentration at a site in a wide or combined long-and-wide table. ,EU Airport template,wat_sit_nr_tn_mgL_me_NR_value,NA,NA,measurements,,0,,0,Water compartment,wat,Site,sit,Not reported,nr,Total Nitrogen,tn,,0,Milligrams per litre,mgL,Arithmetic mean,me,NR,Value,value,
wat_sa_nr_lodSewa_gc_sin_NR_value,Limit of Detection (gc) - wide,33,Limit of Detection of a wastewater sample in a wide or combined long-and-wide table. ,EU Airport template,wat_sa_nr_lodSewa_gc_sin_NR_value,NA,NA,measurements,,0,,0,Water compartment,wat,Sample,sa,Not reported,nr,Limit of detection (LOD) - sewage,lodSewa,,0,Gene copies,gc,Single,sin,NR,Value,value,
wat_sa_nr_loq_gc_sin_NR_value,Limit of Quantification (gc) - wide,29,Limit of quantification in a wide or combined long-and-wide table. ,EU Airport template,wat_sa_nr_loq_gc_sin_NR_value,NA,NA,measurements,,0,,0,Water compartment,wat,Sample,sa,Not reported,nr,Limit of quantification (LOQ),loq,,0,Gene copies,gc,Single,sin,NR,Value,value,
mr_reportDate,Report date - wide,13,Date that the measurement was reported to authorities in a wide or combined long-and-wide table. ,EU Airport template,NA,NA,mr_reportDate,attributes,Measure report table Shorthand,mr,,0,,0,,0,,0,,0,,0,,0,,0,,Report date,reportDate,
co_email,Contact person email - wide,8,Contact email address in a wide or combined long-and-wide table. ,EU Airport template,NA,NA,co_email,attributes,Contact table Shorthand,co,,0,,0,,0,,0,,0,,0,,0,,0,,Contact email,email,
mr_notes,Notes - wide,8,Notes on a measure in a wide or combined long-and-wide table. ,EU Airport template,NA,NA,mr_notes,attributes,Measure report table Shorthand,mr,,0,,0,,0,,0,,0,,0,,0,,0,,Notes,notes,
mr_datasetID,Data source,12,The dataset or source dataset for a measure. This might reference difference contributor organizations to a larger dataset.,HPAIV H5N1 Template,NA,NA,mr_datasetID,attributes,Measure report table Shorthand,mr,,0,,0,,0,,0,,0,,0,,0,,0,,Dataset ID,datasetID,
si_repOrg1,Site jurisdiction,10,The unique identifier for an organization with jurisdiction over a given site.,HPAIV H5N1 Template,NA,NA,si_repOrg1,attributes,Sites table Shorthand,si,,0,,0,,0,,0,,0,,0,,0,,0,,Primary reporting authority ID,repOrg1,
po_polygonID,Sewershed ID,12,The unique identifier for the polygon/sewershed boundaries for collection point.,HPAIV H5N1 Template,NA,NA,po_polygonID,attributes,Polygon table Shorthand,po,,0,,0,,0,,0,,0,,0,,0,,0,,Polygon ID,polygonID,
si_siteID,Site,9,The unique identifier for a sampling site.,HPAIV H5N1 Template,NA,NA,si_siteID,attributes,Sites table Shorthand,si,,0,,0,,0,,0,,0,,0,,0,,0,,Site ID,siteID,
si_sampleShed,Sample shed type,13,"The social context of the sampling site, specifying the building or location type. For example, an airplane, or a school, or a wastewater treatment plant.",HPAIV H5N1 Template,NA,NA,si_sampleShed,attributes,Sites table Shorthand,si,,0,,0,,0,,0,,0,,0,,0,,0,,Sample shed,sampleShed,
si_siteType,Sampling location type,11,"The type of site for collection in terms of the physical infrastructure. For example, a branch sewer pipeline, or a holding tank.",HPAIV H5N1 Template,NA,NA,si_siteType,attributes,Sites table Shorthand,si,,0,,0,,0,,0,,0,,0,,0,,0,,Site Type,siteType,
hum_sit_NA_popServ_peeps_total_NA_value,Population served,39,The population served by a site.,HPAIV H5N1 Template,hum_sit_NA_popServ_peeps_total_NA_value,NA,NA,measurements,Measure report table Shorthand,mr,,0,Human compartment,hum,Site,sit,Not applicable,NA,Population Served,popServ,,0,Number of people,peeps,Total amount or count - the sum,total,NA,Value,value,
sar_sampleID,SampleID,12,The unique identifier for a sample.,HPAIV H5N1 Template,NA,NA,sar_sampleID,attributes,Sample relationships table Shorthand,sar,,0,,0,,0,,0,,0,,0,,0,,0,,Sample ID,sampleID,
sar_collDT,Collection date/time,10,The date and time of sample collection.,HPAIV H5N1 Template,NA,NA,sar_collDT,attributes,Sample relationships table Shorthand,sar,,0,,0,,0,,0,,0,,0,,0,,0,,Collection date time,collDT,
sar_collType,Collection type,12,"The type of sample collection used to gather the sample (ie. Passive sample, grab sample, etc.)",HPAIV H5N1 Template,NA,NA,sar_collType,attributes,Sample relationships table Shorthand,sar,,0,,0,,0,,0,,0,,0,,0,,0,,Sample collection type,collType,
sar_collPer,Composite collection period,11,"Used for composite samples, this specifies the time period for sample collection.",HPAIV H5N1 Template,NA,NA,sar_collPer,attributes,Sample relationships table Shorthand,sar,,0,,0,,0,,0,,0,,0,,0,,0,,Collection period,collPer,
sar_collNum,Composite collection number,11,"Used for composite samples, this specifies the number of sub-samples taken for build the composite.",HPAIV H5N1 Template,NA,NA,sar_collNum,attributes,Sample relationships table Shorthand,sar,,0,,0,,0,,0,,0,,0,,0,,0,,Collection number,collNum,
sar_pooled,Pooled,10,A binary indicaotr for whether the sample is pooled or not.,HPAIV H5N1 Template,NA,NA,sar_pooled,attributes,Sample relationships table Shorthand,sar,,0,,0,,0,,0,,0,,0,,0,,0,,Pooled,pooled,
mr_aDateStart,Analysis date/time start,13,The date and time that analysis was started.,HPAIV H5N1 Template,NA,NA,mr_aDateStart,attributes,Measure report table Shorthand,mr,,0,,0,,0,,0,,0,,0,,0,,0,,Analysis date start,aDateStart,
mr_aDateEnd,Analysis date/time end,11,The date and time when analysis was complete.,HPAIV H5N1 Template,NA,NA,mr_aDateEnd,attributes,Measure report table Shorthand,mr,,0,,0,,0,,0,,0,,0,,0,,0,,Analysis date end,aDateEnd,
mr_fraction,Fraction analyzed,11,The fraction of the wastewater used for analysis and measurement.,HPAIV H5N1 Template,NA,NA,mr_fraction,attributes,Measure report table Shorthand,mr,,0,,0,,0,,0,,0,,0,,0,,0,,Fraction analyzed,fraction,
sar_saMaterial,Sample type,14,"The type of material that comprises the sample (ie. Primary effluent, de-watered solids, etc.)",HPAIV H5N1 Template,NA,NA,sar_saMaterial,attributes,Sample relationships table Shorthand,sar,,0,,0,,0,,0,,0,,0,,0,,0,,Sample material,saMaterial,
ps_met_pcrmeth_value,PCR method used,20,The PCR method used for measuring genes of interest.,HPAIV H5N1 Template,NA,ps_met_pcrmeth_value,NA,methods,Protocol steps table Shorthand,ps,Methods part-type Shorthand,met,Water compartment,wat,Sample,sa,,0,,0,PCR method,pcrmeth,Unit not applicable,naUnit,Aggregation not applicable,naAggr,,Value,value,
pro_refLink,Protocol citation link,11,The URL or link to the materials or details on the analysis protocol.,HPAIV H5N1 Template,NA,NA,pro_refLink,attributes,Protocols table Shorthand,pro,,0,,0,,0,,0,,0,,0,,0,,0,,Reference link,refLink,
mr_group,Target Type,8,"The genetic ""target type"" as defined using ODM groups in a wide or combined long-and-wide table. ",HPAIV H5N1 Template,NA,NA,mr_group,attributes,Measure report table Shorthand,mr,,0,,0,,0,,0,,0,,0,,0,,0,,Group,group,
mr_measure,Target,10,The genetic target or measure of an analysis  in a wide or combined long-and-wide table. ,HPAIV H5N1 Template,NA,NA,mr_measure,attributes,Measure report table Shorthand,mr,,0,,0,,0,,0,,0,,0,,0,,0,,Measure,measure,
wat_sa_hFr_hMe_hUn_hAg_NR_value,Value,31,Measure value  in a wide or combined long-and-wide table where most details are recorded in other columns.,HPAIV H5N1 Template,wat_sa_hFr_hMe_hUn_hAg_NR_value,NA,NA,measurements,,0,,0,Water compartment,wat,Sample,sa,See Header for Fraction Analyzed,hFr,See Header for Measure,hMe,,0,See Header for Unit,hUn,See Header for Aggregation,hAg,NR,Value,value,
mr_unit,Unit,7,The unit of a measure in a wide or combined long-and-wide table. ,HPAIV H5N1 Template,NA,NA,mr_unit,attributes,Measure report table Shorthand,mr,,0,,0,,0,,0,,0,,0,,0,,0,,Unit,unit,
